zip,city,state,latitude,longitude,timezone,dst
52761,Muscatine,IL,41.413372,-91.00612,-6,1
60001,Alden,IL,42.324761,-88.452481,-6,1
60002,Antioch,IL,42.46617,-88.09995,-6,1
60004,Arlington Heights,IL,42.108428,-87.97723,-6,1
60005,Arlington Heights,IL,42.069327,-87.98464,-6,1
60006,Arlington Heights,IL,41.811929,-87.68732,-6,1
60007,Elk Grove Village,IL,42.005978,-87.99847,-6,1
60008,Rolling Meadows,IL,42.07506,-88.02508,-6,1
60009,Elk Grove Village,IL,41.811929,-87.68732,-6,1
60010,Barrington,IL,42.160791,-88.15231,-6,1
60011,Barrington,IL,42.322814,-87.610053,-6,1
60012,Crystal Lake,IL,42.265643,-88.31664,-6,1
60013,Cary,IL,42.217523,-88.24338,-6,1
60014,Crystal Lake,IL,42.226623,-88.33066,-6,1
60015,Deerfield,IL,42.169325,-87.86556,-6,1
60016,Des Plaines,IL,42.047178,-87.89058,-6,1
60017,Des Plaines,IL,42.028779,-87.894366,-6,1
60018,Des Plaines,IL,42.008429,-87.89234,-6,1
60019,Des Plaines,IL,42.024278,-87.907066,-6,1
60020,Fox Lake,IL,42.409445,-88.17822,-6,1
60021,Fox River Grove,IL,42.194946,-88.21676,-6,1
60022,Glencoe,IL,42.130976,-87.76252,-6,1
60025,Glenview,IL,42.07672,-87.81922,-6,1
60026,Glenview Nas,IL,41.811929,-87.68732,-6,1
60029,Golf,IL,42.056529,-87.79286,-6,1
60030,Grayslake,IL,42.338955,-88.03433,-6,1
60031,Gurnee,IL,42.375821,-87.93517,-6,1
60033,Harvard,IL,42.424338,-88.61431,-6,1
60034,Hebron,IL,42.468318,-88.43125,-6,1
60035,Highland Park,IL,42.181875,-87.80956,-6,1
60037,Fort Sheridan,IL,42.21196,-87.80808,-6,1
60038,Palatine,IL,42.097976,-88.014072,-6,1
60039,Crystal Lake,IL,42.324761,-88.452481,-6,1
60040,Highwood,IL,42.205724,-87.81421,-6,1
